from_year,to_year,level,from_id,to_id,change_type,source_file
2017,2021,municipality,1740,5044,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1742,5045,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1743,5046,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1744,5047,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1749,5049,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1755,5052,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1756,5053,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1805,1806,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1852,5412,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1902,5401,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1903,5402,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1911,5411,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1917,5413,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1919,5414,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1922,5416,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1923,5417,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1924,5418,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1925,5419,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1926,5420,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1933,5422,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1936,5423,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1938,5424,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1941,5427,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1942,5428,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,1943,5429,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,2002,5404,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
